,id,title,genres,original_language,overview,popularity,production_companies,release_date,budget,revenue,runtime,status,tagline,vote_average,vote_count,credits,keywords,poster_path,backdrop_path,recommendations,profit,rating,Rated,rated
0,420818,The Lion King,Adventure-Drama-Family,en,Simba idolizes his father King Mufasa and takes to heart his own royal destiny. But not everyone in the kingdom celebrates the new cub's arrival. Scar Mufasa's brother—and former heir to the throne—has plans of his own. The battle for Pride Rock is ravaged with betrayal tragedy and drama ultimately resulting in Simba's exile. With help from a curious pair of newfound friends Simba will have to figure out how to grow up and take back what is rightfully his.,131.16,Walt Disney Pictures-Fairview Entertainment,2019-07-12,260000000.0,1663075401.0,118.0,Released,The King has Returned.,7.131,9015.0,Chiwetel Ejiofor-John Oliver-James Earl Jones-John Kani-Alfre Woodard-JD McCrary-Shahadi Wright Joseph-Penny Johnson Jerald-Keegan-Michael Key-Eric André-Florence Kasumba-Seth Rogen-Billy Eichner-Amy Sedaris-Chance the Rapper-Josh McCrary-Donald Glover-Beyoncé-Phil LaMarr-J. Lee,africa-lion-prince-musical-uncle-remake-grief-redemption-king-family-sidekick-live action and animation-father son relationship-live action remake,/dzBtMocZuJbjLOXvrl4zGYigDzh.jpg,/1TUg5pO1VZ4B0Q1amk3OlXvlpXV.jpg,420817-301528-429617-330457-420809-384018-8587-475557-454626-474350-299536-299534-447404-329996-9732-287947-404368-512200-466272-299537-984430,1403075401.0,7.107620954470653,PG,PG
1,10144,The Little Mermaid,Animation-Family-Fantasy,en,This colorful adventure tells the story of an impetuous mermaid princess named Ariel who falls in love with the very human Prince Eric and puts everything on the line for the chance to be with him. Memorable songs and characters -- including the villainous sea witch Ursula.,111.297,Walt Disney Pictures-Silver Screen Partners IV-Walt Disney Feature Animation,1989-11-17,40000000.0,211343479.0,83.0,Released,Somewhere under the sea and beyond your imagination is an adventure in fantasy.,7.3,6864.0,Jodi Benson-Samuel E. Wright-Pat Carroll-Christopher Daniel Barnes-Kenneth Mars-Buddy Hackett-Jason Marin-René Auberjonois-Paddi Edwards-Ben Wright-Edie McClurg-Will Ryan-Sherry Lynn-Mickie McGowan-Nancy Cartwright-Frank Welker-Hamilton Camp-Debbie Shapiro-Robert Weil-Ed Gilbert-Charlie Adler-Jack Angel-Susan Boyd-Steve Bulen-Philip L. Clarke-Jennifer Darling-Trevor Allan Davies-Gail Farrell-Donny Gerrard-Willie J. Greene Jr.-Linda Harmon-Walter S. Harrah-Phillip Ingram-Luana Jackman-William A. Kanady-Edie Lehmann Boddicker-Anne Lockhart-Melissa MacKay-Guy Maeda-Lynn Dolin Mann-Arnold Markussen,sea-fireworks-prince-kingdom-daughter-mermaid-princess-crab-fish out of water-misunderstanding-single father-based on fairy tale-true love-bargain-trident-father daughter relationship,/plcZXvI310FkbwIptvd6rqk63LP.jpg,/2ze42e0l0bPYEcJXInUukvNfZKk.jpg,408-11224-10020-10882-10340-9325-12230-10530-10895-10693-3170-37135-10674-12092-812-10545-10898-11360-10112-11970-10198,171343479.0,7.266973004020677,PG,PG
2,420634,Terrifier,Horror-Thriller,en,On Halloween night a young woman finds herself as the obsession of a sadistic murderer known as Art the Clown.,104.877,Dark Age Cinema,2016-03-15,100000.0,0.0,84.0,Released,There is nothing more frightening than a clown after midnight.,6.582,1433.0,David Howard Thornton-Jenna Kanell-Samantha Scaffidi-Catherine Corcoran-Pooya Mohseni-Matt McAllister-Katie Maguire-Gino Cafarelli-Cory DuVal-Michael Leavy-Erick Zamora-Clifton Dunn-Xiomi Frans-Cuber-Julie Asriyan-Margaret Reed-Alan Hasnas-Jason Leavy-Steven Della Salla-Ursula Anderman-Phil Falcone-Gloria Jung-Joe Patrick Marshall,clown-halloween-slasher-maniac-killer clown-evil clown-based on short film,/4lwh4MX2yCogHflyAYMRbfdnpnm.jpg,/naNXYdBzTEb1KwOdi1RbBkM9Zv1.jpg,663712-86328-913290-616820-1035583-24575-231001-297692-859912-882598-436270-18983-838594-338947-717728-949423-11281-10359-848058-760104,-100000.0,6.478803652968036,PG-13,PG-13
3,4232,Scream,Crime-Horror-Mystery,en,After a series of mysterious deaths befalls their small town an offbeat group of friends become the target of a masked killer.,96.813,Dimension Films-Woods Entertainment,1996-12-20,14000000.0,173046663.0,112.0,Released,Someone has taken their love of scary movies one step too far.,7.4,5614.0,Neve Campbell-David Arquette-Courteney Cox-Matthew Lillard-Rose McGowan-Skeet Ulrich-Jamie Kennedy-W. Earl Brown-Liev Schreiber-Joseph Whipp-Drew Barrymore-Roger Jackson-Kevin Patrick Walls-David Booth-Carla Hatley-Lawrence Hecht-Lois Saunders-Lisa Beach-Tony Kilbert-C.W. Morgan-Frances Lee McCain-Troy Bishop-Ryan Kennedy-Leonora Scelfo-Nancy Anne Ridder-Lisa Canning-Bonnie Wood-Aurora Draper-Kenny Kwong-Justin Sullivan-Kurtis Bedford-Angela Miller-Henry Winkler-Linda Blair-Andrew Christiansen-Wes Craven-Matt McDonald-Lynn McRee-Carter Raff-Freddy W. Smith,riddle-killing-small town-halloween-high school-house party-serial killer-school-slasher-whodunit-killing spree-phone-tabloid-news reporter-self-referential-crime spree-young adult-metacinema,/3O3klyyYpAZBBE4n7IngzTomRDp.jpg,/4PPC7fKClu0u7NTbo5xgV4vb5VD.jpg,4233-4234-41446-948-377-3597-9532-11442-646385-176-565-11281-9358-46554-9286-10585-4488-11675-3600-2082-30497,159046663.0,7.357997899894995,PG-13,PG-13
5,413518,Pinocchio,Drama-Family-Fantasy,it,In this live-action adaptation of the beloved fairytale old woodcarver Geppetto fashions a wooden puppet Pinocchio who magically comes to life. Pinocchio longs for adventure and is easily led astray encountering magical beasts fantastical spectacles while making friends and foes along his journey. However his dream is to become a real boy which can only come true if he finally changes his ways.,81.278,Canal+-CNC-Eurimages-MEDIA Programme of the European Union-HanWay Films-Le Pacte-Ciné+-Recorded Picture Company-01 Distribution-Archimede-RAI Cinema-Leone Film Group,2019-12-19,12400000.0,17133446.0,124.0,Released,The most beloved fairy tale comes to life.,6.6,1358.0,Federico Ielapi-Roberto Benigni-Marine Vacth-Gigi Proietti-Massimo Ceccherini-Rocco Papaleo-Alessio Di Domenicantonio-Marcello Fonte-Davide Marotta-Paolo Graziosi-Gianfranco Gallo-Massimiliano Gallo-Alida Baldari Calabria-Maurizio Lombardi-Teco Celio-Maria Pia Timo-Enzo Vetrano-Nino Scardina-Ciro Petrone-Domenico Centamore,based on novel or book-based on children's book-pinocchio,/y5qFpo1eEdsHCPh2zZyplzxaxsU.jpg,/AdqOBPw4PdtzOcfEuQuZ8MNeTKb.jpg,593402-10599-606952-653522-614292-613080-575452-590869-58451-970423-12776-606954-48254-613486-483184-636698-310126-582873-630220-475303-551332,4733446.0,6.490260631001371,PG,PG
6,630586,Wrong Turn,Horror-Thriller-Drama,en,Jen and a group of friends set out to hike the Appalachian Trail. Despite warnings to stick to the trail the hikers stray off course—and cross into land inhabited by The Foundation a hidden community of mountain dwellers who use deadly means to protect their way of life.,75.424,Constantin Film-The H Collective-Tea Shop & Film Company-Lionsgate,2021-01-26,0.0,3777969.0,110.0,Released,This land is their land.,6.0,900.0,Charlotte Vega-Adain Bradley-Bill Sage-Emma Dumont-Dylan McTee-Daisy Head-Matthew Modine-Vardaan Arora-Adrian Favela-Tim DeZarn-Rhyan Elizabeth Hanavan-Chaney Morrow-Cory Scott Allen-Amy Warner-Richard Hagerman-Damian Maffei-Mark Mench-David Hutchison-Chris Hahn-Valerie Jane Parker-Richard Davis-Heru Lasana-Daniel R. Hill-Brady Gentry-Daphne Matthews-Gary Ray Stearns-Jeremy Ambler-Jennie Malone-Bret Aaron Knower-Brian Searle,secret society-forest-community-revenge-interracial relationship-gore-slasher-backwoods-group of friends-mercy killing-virginia-reboot-appalachian trail-killers-abduction,/4U1SBHmwHkNA0eHZ2n1CuiC1K1g.jpg,/6XVqVAMOsKL5C26pHesiAawuGYW.jpg,259072-125509-23823-71672-13186-542787-9902-760875-643586-746524-522444-670428-760195-996727-34335-645856-632727-599281-629015-591274-602734,3777969.0,5.9,PG-13,PG-13
7,150689,Cinderella,Romance-Fantasy-Family-Drama,en,When her father unexpectedly passes away young Ella finds herself at the mercy of her cruel stepmother and her daughters. Never one to give up hope Ella's fortunes begin to change after meeting a dashing stranger in the woods.,75.014,Walt Disney Pictures-Genre Films-Beagle Pug Films-Allison Shearmur Productions,2015-03-12,95000000.0,543514353.0,105.0,Released,Midnight is just the beginning.,6.8,6487.0,Lily James-Cate Blanchett-Richard Madden-Stellan Skarsgård-Holliday Grainger-Sophie McShera-Derek Jacobi-Helena Bonham Carter-Nonso Anozie-Ben Chaplin-Hayley Atwell-Richard McCabe-Rob Brydon-Jana Pérez-Alex MacQueen-Tom Edden-Gareth Mason-Paul Hunter-Eloise Webb-Joshua McGuire-Matthew Steer-Mimi Ndiweni-Laura Elsworthy-Ella Smith-Ann Davies-Gerard Horan-Katie West-Daniel Tuite-Anjana Vasan-Stuart Neal-Tomiwa Edun-Joseph Kloska-Andy Apollo-Craig Mather-Jonny Owen-Last-Nari Blair-Mangat-Michael Jenn-Josh O'Connor-Elina Alminas-Janet Dawe-Robert J. Fraser-Alex Gillison-Rajesh Kalhan-Joe Kennard-João Costa Menezes-Gino Picciano-Julian Seager-Sarah Sharman-Zizi Strallen-Tom Swacha,magic-prince-fairy tale-kingdom-royalty-orphan-lost shoe-evil stepmother-based on fairy tale-retelling-live action and animation-live action remake,/ryKwNlAfDXu0do6SX9h4G9Si1kG.jpg,/q7vmCCmyiHnuKGMzHZlr0fD44b9.jpg,102651-11224-321612-109445-224141-222935-262500-4523-62764-10020-8966-58595-12155-286565-216015-38757-157350-50620-150540-18239-131631,448514353.0,6.772673447700014,PG-13,PG-13
8,337401,Mulan,Adventure-Fantasy-Drama-Action,en,When the Emperor of China issues a decree that one man per family must serve in the Imperial Chinese Army to defend the country from Huns Hua Mulan the eldest daughter of an honored warrior steps in to take the place of her ailing father. She is spirited determined and quick on her feet. Disguised as a man by the name of Hua Jun she is tested every step of the way and must harness her innermost strength and embrace her true potential.,69.624,Walt Disney Pictures-China Film Group Corporation-Good Fear-Jason T. Reed Productions,2020-09-04,200000000.0,66800000.0,115.0,Released,Loyal. Brave. True.,6.915,6212.0,Liu Yifei-Donnie Yen-Gong Li-Jet Li-Jason Scott Lee-Yoson An-Tzi Ma-Rosalind Chao-Cheng Pei-pei-Ming-Na Wen-Xana Tang-Ron Yuan-Jun Yu-Chen Tang-Doua Moua-Jimmy Wong-Nelson Lee-Hoon Lee-Crystal Rao-Elena Askin-Vincent Feng-R.J. O'Young-Roger Yuan-Jenson Cheng-Arka Das-Jen Sung-King Lau-Zhaidarbek Kunguzhinov-Gary Young-Wolf Chen-Owen Kwong-Young-H. Lee,china-martial arts-hero-fake identity-honor-east asian lead-heroine-based on myths legends or folklore-live action and animation-chinese girl-live action remake,/aKx1ARwG55zZ0GpRvU2WrGrCG9o.jpg,/zMrk2G3XsnfYKiIp1NEfdtvDyBH.jpg,539731-452851-520211-525598-244773-495362-508442-10674-665372-694228-245363-497582-464052-609945-555595-577922-376998-527774-694919-12242-443635,-133200000.0,6.884660963244613,PG-13,PG-13
10,321612,Beauty and the Beast,Family-Fantasy-Romance,en,A live-action adaptation of Disney's version of the classic tale of a cursed prince and a beautiful young woman who helps him break the spell.,57.307,Walt Disney Pictures-Mandeville Films,2017-03-16,160000000.0,1263521126.0,129.0,Released,Be our guest.,7.0,14505.0,Emma Watson-Dan Stevens-Luke Evans-Josh Gad-Kevin Kline-Hattie Morahan-Haydn Gwynne-Gerard Horan-Ray Fearon-Ewan McGregor-Ian McKellen-Emma Thompson-Nathan Mack-Audra McDonald-Stanley Tucci-Gugu Mbatha-Raw-Clive Rowe-Thomas Padden-Rita Davies-D.J. Bailey-Adrian Schiller-Harriet Jones-Adam Mitchell-Tom Turner-Michael Jibson-Zoe Rainey-Daisy Duczmal-Jolyon Coy-Jimmy Johnston-Dean Street-Alexis Loizon-Sophie Reid-Rafaëlle Cohen-Carla Nella-Obioma Ugoala-Lynne Wilmot-Jane Fowler-Alison Harding-Chris Andrew Mellon-Jemma Alexander-Sandy Strallen-Dale Branston-Daniel Ioannou-Peter Challis-Wendy Baldock-Norma Atallah-Leo Andrew-Steven Butler-Sharon Gomez-Jacqui Jameson-Vivien Parry-Simone Sault-Beth Willetts-Mandy Montanez-Tom Oakley-William Bozier-Jak Allen-Anderson-Phil Grannel-Freddie August-Nicola Keen-Ebony Molina-Alison Jenkins-Ellen O'Grady-Dawn Buckland-Rebecca Mckinnis-Jody Hall-Ben Fox-Nathan Vaughan Harris-Tim Stanley-Ben Clare-Marina Abdeen-Danielle Acors-Hayley Ainsley-Rhianne Alleyn-Gabby Antrobus-Sophie Atkins-Koko Basigara-Holly Bluett-Daisy Boyles-Ava Brennan-Sophia Brown-Sophie Carmen-Jones-Cassie Clare-Tanya Cumberland-Natalie Davis-Paige Drury-Lawrence-Stephanie Elstob-Cordelia Farnworth-Cj Field-Lily Frazer-Lucy Alexa Gilbert-Helen Gulstan-Selina Hamilton-Leah Hill-Abigayle Honeywill-Chelsea Inez-Blythe Jandoo-Shireen Jathoonia-Billie Kay-Piper-Hannah Kenna-Thomas-Ella Kora-Jennifer Leung-Emily Loumba-Cassie Macmillian-Fiona McDonald-Samira Mighty-Sonoya Mizuno-Anna Momcilovic-Nicola Mooi-Nicole O'Neill-Abiona Omonua-Jazz Peters-Courtney Pruce-Kayla Radam-Katie Singh-Lucy St Louis-Ruth Steele-Jasmine Takacs-Naomi Weijand-Leah West-Skye Lucia Degruttola-Timia Julien-Box-Adelaide Morgan-Gemma Fray-Lara Decaro-Max Brophy-Samuel Brown-Daniel Daszek-Green-Freddie Hunter-Joey Brown-Tom Burgering-Nate Leung-Kai Gordon-Oscar Francisco-Harry Marcus-Johanna Smitz,france-magic-castle-fairy tale-musical-transformation-cartoon-remake-curse-creature-18th century-beast-live action and animation-live action remake,/hKegSKIDep2ewJWPUQD7u0KqFIp.jpg,/m3tdSyl11fhgXPDSEt3aBctTqGP.jpg,259316-150689-10020-102651-109445-269149-297762-150540-263115-283366-672-283995-277834-131631-12445-767-8966-12444-675-673-674,1103521126.0,6.986306059568641,PG-13,PG-13
11,453354,Ava,Drama,fr,Ava 13 is spending the summer on the Atlantic coast when she learns that she will lose her sight sooner than expected. Her mother decides to act as if everything were normal so as to spend their best summer ever. Ava confronts the problem in her own way. She steals a big black dog that belongs to a young man on the run...,56.664,ARTE France Cinéma-Canal+-ARTE-Ciné-@-F Comme Film-Cinémage 11-Trois Brigands Productions-Cofinova 13,2017-06-21,3000000.0,500000.0,106.0,Released,,6.2,173.0,Noée Abita-Juan Cano-Laure Calamy-Tamara Cano-Ismaël Capelot-Daouda Diakhaté-Baptiste Archimbaud-Franck Beckmann-Valentine Cadic-Mary Lefèvre-Vincent Grousset-Paul Meulins-Mila Cheuzzi-Nolan Dos Santos-Thiméo Méric Guarese-Romain Biderre-Cindy Gimenez-Sabrina Gimenez-Sarah Utrera-Stéphane Durieux-Frédéric Guerbert-Carmen Giménez,beach-teenage girl-summer-summer vacation-dog-blindness-woman director-mother daughter relationship,/cUI1PFsrQVJR3IZOpkfsOOOUhTO.jpg,/daOd8KBGDdsOhVdzXB3KU5fgBd2.jpg,74944-490448-369297-323665-539885-451945-661365-803700-76600-490132-767-19995,-2500000.0,5.76043956043956,PG,PG
